column,label,value
0,0,sad apl friend
1,0,miss new moon trailer
2,1,omg already
3,0,omega soo gunn cry dentist since suppose get crown put min
4,0,think mi bf cheat tt
5,0,worry much
6,1,chill !!
7,0,sunny work tomorrow tv tonight :-|
8,1,hand uniform today miss already
9,1,hmm wonder number @-)
10,0,must think positive
11,1,thank hater face day
12,0,weekend suck far
13,0,jb int show australia
14,0,ok thats win
15,0,way feel right ;-
16,0,aware man completely useless rt funny twitter ://
17,1,feel strangely fine gonna go listen semiotic celebrate
18,0,huge roll thunder scary
19,0,cut beard grow well year gonna start happy meantime
20,0,sad iran
21,0,woman woman
22,1,one see cause one else follow pretty awesome
23,0,sad level write massive blow tweet space comp shut lose lay fetal position ;-
24,0,head hospital pull golf tourney rd place think rip something yeah !!
25,0,bore whats wrong please tell ): ?? :-/
26,0,bother wish could spend rest life sit go gig seriously
27,0,feel like shit right really want sleep noo hour dance art assignment finish
28,1,goodbye exam hello alcohol tonight
29,0,didn realize deep gee give girl warn least
30,0,hate athlete appear tear acl live television
31,0,miss guy think wear skinny jean cute sweater heel really sure today
32,0,meet meat -- ://
33,0,horse move saturday morning
34,0,sit need work day week
35,0,really dont like room bore sick wardrobe cant wait till walk one yay
36,0,sox floyd great believer need scold
37,0,time like million
38,1,unload picture friendly
39,0,type span download virus msn fuck forever :\ :'(
40,0,amp amp fight wait babe ;&
41,1,write something last week get call someone new york office (:!- ://
42,0,enough say
43,1,need even say well go anyways chris cornell chicago tonight
44,1,health class joke !)
45,1,go show tonight
46,0,really make sad look muslim reality
47,0,
48,0,entertainment someone complain properly experimental say experiment melody
49,0,another year maker neither magic fun
50,0,baddest day ever
51,1,bathroom clean enjoyable task
52,1,boom boom pow
53,0,proud
54,0,congrats hello though
55,0,david must hospitalize five day end july palatine tonsil probably never see katie concert
56,0,friend leave cause stupid love ://
57,1,go give ur mom hug right ://
58,1,go see harry sunday happiness
59,0,hand quilt
60,0,hate ley ar =(
61,1,
62,1,bend backwards
63,1,get work soon miss cody boo haven see forever
64,1,hate allergy get hair cut tomorrow take public poll
65,0,love guy much hurt ://
66,0,miss earl
67,0,miss new jersey
68,0,miss first hour stych last night find online
69,0,need fix
70,0,never think become second choice
71,0,think may friendly lol well
72,0,think manuel basil plant day live
73,0,wanna home church wonder
74,0,wanna make pizza
75,0,want gb harddrive inch tv new guitar anyonefeeling generous ?=
76,0,want hug
77,0,want mile tour australia
78,0,want sleep morning mean kid possible stick head wish could fly away like squirrel
79,0,slow get six
80,0,send sunshine northern ireland go swim today
81,0,wish could go beach would great see amp :'(
82,0,would much happy wall bedroom paint white
83,0,ink wat trust sorry da pain cause nobody ma take dis time straighten luv
84,0,find intercept slope bang head wall math brain head come save
85,1,really go bed
86,0,sick cough cough
87,0,cab head airport go home christy
88,0,case feel emo camp feel wee bite bring human right watch world report hope work
89,1,jin twitter
90,0,jonas day almost
91,0,jus get hom fr tda funeral sad cry much time much love grandpa never get say last goodbye !&
92,1,gonna smile cut sure could want
